Date,MDividends
1/1/1969,0.46
2/1/1969,0.43
3/1/1969,0.66
4/1/1969,0.8
5/1/1969,0.75
6/1/1969,0.57
7/1/1969,2.54
8/1/1969,8.98
9/1/1969,3.08
10/1/1969,1.67
11/1/1969,0.84
12/1/1969,0.56
1/1/1970,0.42
2/1/1970,0.49
3/1/1970,0.8
4/1/1970,0.44
5/1/1970,1.31
6/1/1970,0.66
7/1/1970,2.96
8/1/1970,4.57
9/1/1970,5.04
10/1/1970,2.1
11/1/1970,0.52
12/1/1970,0.68
1/1/1971,0.33
2/1/1971,0.39
3/1/1971,0.22
4/1/1971,0.42
5/1/1971,0.67
6/1/1971,0.49
7/1/1971,2.12
8/1/1971,2.05
9/1/1971,2.49
10/1/1971,1.34
11/1/1971,0.78
12/1/1971,0.41
1/1/1972,0.34
2/1/1972,0.39
3/1/1972,0.54
4/1/1972,0.5
5/1/1972,0.72
6/1/1972,0.65
7/1/1972,2.64
8/1/1972,3.67
9/1/1972,2.03
10/1/1972,2.79
11/1/1972,0.56
12/1/1972,0.42
1/1/1973,0.3
2/1/1973,0.4
3/1/1973,0.37
4/1/1973,0.92
5/1/1973,0.39
6/1/1973,0.52
7/1/1973,0.8
8/1/1973,0.53
9/1/1973,0.43
10/1/1973,0.37
11/1/1973,0.66
12/1/1973,1.17
1/1/1974,0.52
2/1/1974,1.97
3/1/1974,5.23
4/1/1974,5.83
5/1/1974,3.61
6/1/1974,1.19
7/1/1974,1.16
8/1/1974,0.54
9/1/1974,0.46
10/1/1974,0.52
11/1/1974,0.48
12/1/1974,1.23
1/1/1975,0.36
2/1/1975,1.14
3/1/1975,1.88
4/1/1975,5.93
5/1/1975,2.44
6/1/1975,0.69
7/1/1975,0.83
8/1/1975,0.31
9/1/1975,0.37
10/1/1975,0.28
11/1/1975,0.39
12/1/1975,0.43
1/1/1976,0.5
2/1/1976,0.62
3/1/1976,0.51
4/1/1976,1.83
5/1/1976,6.13
6/1/1976,3.51
7/1/1976,0.63
8/1/1976,0.42
9/1/1976,0.4
10/1/1976,0.41
11/1/1976,0.58
12/1/1976,1.01
1/1/1977,0.28
2/1/1977,0.71
3/1/1977,1.7
4/1/1977,3.56
5/1/1977,6.26
6/1/1977,0.65
7/1/1977,0.48
8/1/1977,0.3
9/1/1977,0.46
10/1/1977,0.3
11/1/1977,1.04
12/1/1977,0.38
1/1/1978,0.3
2/1/1978,0.25
3/1/1978,1.24
4/1/1978,0.4
5/1/1978,0.43
6/1/1978,0.4
7/1/1978,0.65
8/1/1978,0.63
9/1/1978,0.81
10/1/1978,1.39
11/1/1978,2.11
12/1/1978,2.46
1/1/1979,7
2/1/1979,1.1
3/1/1979,1.11
4/1/1979,0.42
5/1/1979,0.38
6/1/1979,0.33
7/1/1979,0.75
8/1/1979,0.52
9/1/1979,2.51
10/1/1979,0.77
11/1/1979,2.47
12/1/1979,3.78
1/1/1980,1.42
2/1/1980,2.02
3/1/1980,0.61
4/1/1980,0.37
5/1/1980,0.31
6/1/1980,0.32
7/1/1980,0.54
8/1/1980,0.56
9/1/1980,1.11
10/1/1980,0.27
11/1/1980,0.48
12/1/1980,4.94
1/1/1981,3.96
2/1/1981,1.79
3/1/1981,0.63
4/1/1981,0.43
5/1/1981,0.45
6/1/1981,0.55
7/1/1981,0.72
8/1/1981,0.41
9/1/1981,0.39
10/1/1981,0.52
11/1/1981,1.67
12/1/1981,6.4
1/1/1982,1.29
2/1/1982,0.67
3/1/1982,0.72
4/1/1982,0.35
5/1/1982,0.35
6/1/1982,0.63
7/1/1982,0.44
8/1/1982,0.62
9/1/1982,0.24
10/1/1982,1.48
11/1/1982,0.66
12/1/1982,0.38
1/1/1983,0.45
2/1/1983,0.41
3/1/1983,0.5
4/1/1983,1.71
5/1/1983,0.8
6/1/1983,0.67
7/1/1983,1.17
8/1/1983,7.95
9/1/1983,4.86
10/1/1983,1.43
11/1/1983,0.55
12/1/1983,0.62
1/1/1984,0.32
2/1/1984,0.55
3/1/1984,0.41
4/1/1984,1.15
5/1/1984,0.43
6/1/1984,2.33
7/1/1984,1.31
8/1/1984,1.71
9/1/1984,4.9
10/1/1984,0.61
11/1/1984,0.41
12/1/1984,0.33
1/1/1985,0.32
2/1/1985,0.39
3/1/1985,0.46
4/1/1985,0.69
5/1/1985,0.67
6/1/1985,0.22
7/1/1985,2.05
8/1/1985,5.18
9/1/1985,2.66
10/1/1985,1.26
11/1/1985,0.54
12/1/1985,0.39
1/1/1986,0.34
2/1/1986,0.57
3/1/1986,0.5
4/1/1986,0.63
5/1/1986,0.41
6/1/1986,0.97
7/1/1986,1.94
8/1/1986,3.69
9/1/1986,1.57
10/1/1986,0.76
11/1/1986,0.63
12/1/1986,0.4
1/1/1987,0.49
2/1/1987,0.45
3/1/1987,0.61
4/1/1987,0.42
5/1/1987,3.69
6/1/1987,1.1
7/1/1987,0.64
8/1/1987,0.49
9/1/1987,0.37
10/1/1987,0.42
11/1/1987,0.61
12/1/1987,0.57
1/1/1988,0.7
2/1/1988,0.66
3/1/1988,2.96
4/1/1988,9.81
5/1/1988,5.49
6/1/1988,1.57
7/1/1988,0.62
8/1/1988,0.49
9/1/1988,0.44
10/1/1988,0.46
11/1/1988,0.9
12/1/1988,0.74
1/1/1989,2.02
2/1/1989,1.8
3/1/1989,0.55
4/1/1989,4.46
5/1/1989,1.77
